title,brand,categories,description,tags,image-link,site-link
Cashew Nuts – Whole,Peace With The Wild - Refill,"['Food & Drink', 'Nuts & Seeds', 'Nuts']","Healthy, nutritious and delicious! Whole cashew nuts are a pantry essential, great on their own while on-the-go. They are also perfect for sauces, curries and stir fries! Ethically and sustainably grown in Vietnam! Whole cashew nuts can be used to make cashew cream and even used to make a vegan cheese sauce. Cashews are suitable for vegans & vegetarians. Cashews are available in 250g, 500g & 1kg. All our refill food is packaged in recyclable paper bags for sustainable living!","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/08/refill-food-cashew-600x600.jpeg,https://www.peacewiththewild.co.uk/product/cashew-nuts-whole/
Natural Linen Tea Towel – Duck Egg Garden,Helen Round,"['Kitchen', 'Dish Cloths & Towels']","A beautiful, pure linen tea towel that features a hand printed design from Helen Round’s Garden Collection in duck egg blue. This linen will soften with age and is the perfect cloth for drying dishes and is great for glasses. These bestselling linen tea towels are lint free so you can dry glasses, crockery and pans without annoying smears or unwanted fluff.","['Plastic Free', 'Handmade', 'Sustainable', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/04/helen-round-linen-tea-towel-duckegg-blue-NEW-600x600.jpg,https://www.peacewiththewild.co.uk/product/natural-linen-tea-towel-duck-egg-garden/
Rosy Organic Lip Balm – 8g,'Ku.tis,"['Skincare', 'Lip Balms']","A natural and organic lip balm from Kutis scented with rose oil and tinted to leave lips looking full of colour. It is hand crafted using specially selected ingredients to nourish, moisturise and protect the lips throughout the day. Blended with natural beeswax, shea butter, sunflower seed oil and rose essential oil for nourishment. The perfect travel size, that can fit in your pocket or bag for easy application when needed!","['Natural', 'Plastic Free', 'Recyclable', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/06/kutis-organic-lip-balm-rosy-600x600.jpg,https://www.peacewiththewild.co.uk/product/kutis-rosy-organic-lip-balm-8g/
Lavender Salt Bath Cube,Soap Folk,"['Bathroom', 'Bath Bombs']","Skin softening salts and luxurious lavender oil work together in this beautifully crafted bath cube to soothe your mind and skin. Drop in your bath and watch the cube fizz as the calming scent of lavender drifts through the air. The salts in the cube work to draw impurities from the skin and leave it soft & supple, as well as relax your muscles. Lavender contains natural antioxidants and antimicrobial properties, which can help soothe irritation.","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Recyclable', 'Biodegradable', 'Handmade', 'Made In UK', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/10/Soap-Folk-Lavender-Salt-Bath-Cube-600x600.jpg,https://www.peacewiththewild.co.uk/product/lavender-salt-bath-cube/
Geokids Sonic Toothbrush Set for Kids,Georganics,"['Bathroom', 'Toothbrushes', 'Kids Toothbrushes']","This advanced, high-quality toothbrush leverages sonic technology and high-frequency vibrations to effectively remove plaque and prevent tartar build-up. It promotes improved oral health while reducing the risk of gingivitis, bleeding, and swollen gums, delivering a deeper, more intensive clean compared to manual brushing. Designed for Children Aged 3 and Above: Gentle yet effective cleaning tailored for young, developing teeth.","['Vegan', 'Natural', 'Recyclable', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2025/01/Geo-kids-Sonic-Toothbrush-Georganics-600x594.jpg,https://www.peacewiththewild.co.uk/product/geokids-sonic-toothbrush-set-for-kids/
Body Oil with upcycled Passion Fruit Oil – 100ml,UpCircle,"['Skincare', 'Body Oil']","This Luxury Body Oil is brimming with luxurious upcycled ingredients, such as natural passion fruit, tangerine, and kumquat oil to help hydrate and nourish the skin. Natural body oil to invigorate and energise. Inspiring, upcycling, uplifting: This Body Oil is made with upcycled Passion Fruit Oil to nourish and hydrate the skin.","['Vegan', 'Sustainable', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/04/upcircle-body-oil-600x594.jpg,https://www.peacewiththewild.co.uk/product/body-oil-with-upcycled-passion-fruit-oil-100ml/
Compostable UK Sponge – 2 Pack,Eco Living,"['Kitchen', 'Dish Sponges']","Wash your dishes and clean your home the plastic free way with Eco Living compostable sponges, made in the UK! Made from plant cellulose and 100% compostable; the perfect eco-friendly swap!","['Plastic Free', 'Vegan', 'Natural', 'Biodegradable', 'Sustainable', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/01/eco-liv-large-sponge-600x600.jpg,https://www.peacewiththewild.co.uk/product/eco-living-compostable-uk-sponge-2-pack/
Bamboo Spork & Cork Travel Set,Bambu,['Kitchen'],Made from one piece of organic and sustainable bamboo this spork is the perfect travel utensil.,"['Vegan', 'Natural', 'Plastic Free', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/09/Bambu-Cork-Spork-600x600.jpg,https://www.peacewiththewild.co.uk/product/bambu-bamboo-spork-cork-travel-set/
Colour & Repulp Lip Balm – Pink Nude 485,ZAO,['Makeup'],"Enhance the natural beauty of your lips with ZAO’s certified organic, vegan and 100% natural balm. With plant pigments, enriched with organic ingredients, for intense hydration. The delicate touch of colour in these balms, combined with the plumping effect of Argassentiel, naturally enhances the beauty of your lips. In 28 days, the natural collagen in your lips will be boosted, and your lips will have gained an average of 8% more volume. With a touch of peppermint to leave your lips feeling fresh and help them look plumped up.","['Vegan', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/03/Zao-Pink-nude-485-Repulp-Lip-Balm-Bamboo-Case-600x600.jpg,https://www.peacewiththewild.co.uk/product/colour-repulp-lip-balm-pink-nude-485/
Nelson’s Dangerous Dive – Sustainable Children’s Book,Wild Tribe Heroes,"['Mama & Baby', 'Toys & Books', ""Children's Books""]","The Wild Tribe Heroes books are a collection of gentle and engaging true stories about animals that find themselves in trouble when their lives are affected by plastic in the oceans or palm oil deforestation. Follow each one of our heroes to see what happens, how they are saved and what you can do to help them! Children and adults alike will love these books and feel inspired to make positive changes to their own lives and their communities.","['Plastic Free', 'Vegan', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/03/wth-nelson-1-600x600.jpg,https://www.peacewiththewild.co.uk/product/nelsons-dangerous-dive-sustainable-childrens-book/
Natural Body Loofah,Eco Living,"['Bathroom', 'Sponges']","Exfoliate your skin gently and naturally with Eco Living natural body loofah! Handmade from natural loofah plant that is grown in Europe. Natural body loofah is an eco-friendly and plastic-free alternative to plastic sponges and pads. The natural plant fibres exfoliate and remove dead skin cells, leaving your skin soft and smooth. Eco Living natural body loofah is vegan, plastic-free, compostable and 100% biodegradable!","['Vegan', 'Natural', 'Plastic Free', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/09/eco-living-body-loofah-pack-600x600.jpg,https://www.peacewiththewild.co.uk/product/eco-living-natural-body-loofah/
Cruelty Free Shaving Brush,Clear Confidence Company,"['Skincare', 'Shaving Brushes']","Using a traditional shaving brush for a wet shave feels awesome and gives a more comfortable, closer shave. With the wooden vegan shaving brush, you can now enjoy all the luxury of a good old-fashioned shave with modern materials that are cruelty-free! This plastic free cruelty-free shaving brush is one of the most ethically sensitive eco-friendly shaving brushes anywhere on the market. The wooden handle gives a satisfying weight and solidity when applying your shaving cream and it looks awesome too!","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Recyclable', 'Biodegradable', 'Handmade', 'Made In UK', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/10/clear-confidence-shaving-brush-600x594.jpg,https://www.peacewiththewild.co.uk/product/cruelty-free-shaving-brush/
Pink Flamingo Glass Coffee Cup – 12oz,Neon Kactus,"['On-The-Go', 'Coffee Cups', 'Glass Coffee Cups']","Pink Flamingo glass coffee cup by Neon Kactus with BPA free silicone sleeve. Made from high quality thick borosilicate glass which has durable and heat resistant properties. Perfect for when out and about, reusable glass coffee cups are the answer to disposable cups. Most coffee shops offer a discount if you bring your own!","['Plastic Free', 'Vegan', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2019/09/neon-pinkflamingo-12oz-600x594.jpg,https://www.peacewiththewild.co.uk/product/neon-kactus-pink-glass-coffee-cup-12oz/
Fairtrade Cotton Wash Bag – Zip,UpCircle,['Bathroom'],"100% Fairtrade cotton wash bag by UpCircle perfect for storing all your UpCircle goodies, toiletries and make up.  Ideal for traveling.",['Sustainable'],https://www.peacewiththewild.co.uk/wp-content/uploads/2020/09/upcircle-wash-bag-600x600.jpg,https://www.peacewiththewild.co.uk/product/fairtrade-cotton-wash-bag/
Premium 100% Pure MCT Coconut Oil,Hunter & Gather,"['Food & Drink', 'Oils']",Hunter & Gather 100% Pure Premium MCT Coconut Oil.,"['Vegan', 'Palm Oil Free', 'Natural', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/05/Salt-Of-The-Earth-Ocean-Refill-How-To-1-600x600.jpg,https://www.peacewiththewild.co.uk/product/hunter-gather-premium-100-pure-mct-coconut-oil/
Mineral Sunblock SPF 50 – 17.5g,Amazinc,"['Skincare', 'Suncream']","A simple and effective sun cream that is easy to apply and highly water resistant. An eco-friendly and sustainable alternative to sun cream that is kind on your skin and the planet. Amazinc mineral shield can be used all over the face including the lips, it has high protection at an SPF 50+.","['Natural', 'Recyclable', 'Handmade']",https://www.peacewiththewild.co.uk/wp-content/uploads/2019/08/mineral-sheild-collection-amazinc-new-600x600.jpg,https://www.peacewiththewild.co.uk/product/amazinc-mineral-sunblock-spf50-17-5g/
Shampoo Bar – Sunny Orange,Bain & Savon,"['Haircare', 'All Shampoo', 'Shampoo Bars']","Sunny Orange natural shampoo bar made using only 100% natural ingredients, handmade in the UK by Bain & Savon. A zesty shampoo bar scented with a spritely blend of citrus essential oils that not only make it smell divine, but also give it a boost of cleansing power as well.","['Vegan', 'Natural', 'Plastic Free', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/03/Bain-Savon-Fizzy-Orange-New-Packaging-600x600.jpg,https://www.peacewiththewild.co.uk/product/shampoo-bar-sunny-orange-bain-savon/
Vegan Makeup Pencil – Dark Brown 552,ZAO,"['Makeup', 'Eyes', 'Makeup Pencils']","Define your eyes, redesign eyebrows and sublimate the lips with this beautiful, natural and vegan Zao makeup pencil. Create striking looks that emphasise your stunning, natural features! With nourishing, natural and organic ingredients that are kind to the skin and suitable for even the most sensitive of skin types.","['Vegan', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/02/ZAO-makeup-pencil-552-1-600x594.jpg,https://www.peacewiththewild.co.uk/product/zao-vegan-makeup-pencil-dark-brown-552/
Sample Santelle Eau De Parfum – 1.5ml,UpCircle,"['On-The-Go', 'Festival Essentials']","Sample Size. Comforting and empowering, Santelle is an enveloping scent that wraps you in softness and warmth. With a bright and subtly sweet opening, it intertwines the radiant glow of sandalwood with the caramel of immortelle. Top notes of zesty and piquant black pepper with the delicate sweetness of pear and cassis. A rich heart of creamy sandalwood, made luminous with pink pepper and peony. Soft and woody base notes of atlas cedarwood with the caramel warmth of immortelle. Containing upcycled Clove Leaf & Orange Peel.","['Vegan', 'Palm Oil Free', 'Recyclable', 'Made In UK', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/11/Upcircle-Santelle-Sample-1.5ml-600x600.jpg,https://www.peacewiththewild.co.uk/product/sample-santelle-eau-de-parfum-1-5ml/
Star Anise,Peace With The Wild - Refill,"['Food & Drink', 'Herbs & Spices']","Great for seasoning and delicious, star anise is a food pantry essential. Great for a vegan diet, star anise is a perfect source of antioxidants and many other nutrients !. Star anise is a versatile ingredient that can be used in many savoury dishes. All our refill dried food is packaged in recyclable paper bags for sustainable living!","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/08/star-anise-600x600.jpeg,https://www.peacewiththewild.co.uk/product/star-anise/
Silicone Stretch Lids – Set of 6,Green Island,"['Kitchen', 'Bowl Covers']",These fabulous silicone stretch lids are a perfect accessory for any low waste plastic free kitchen and a fantastic alternative to cling film. They fit snugly over different size bowls and fruit and have a good strong stretch.,"['Vegan', 'Natural', 'Plastic Free', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/06/green-island-silicon-lids-600x600.jpg,https://www.peacewiththewild.co.uk/product/silicone-stretch-lids-set-of-6/
Coconut Knife,Huski Home,['Kitchen'],"Huski sustainably made coconut fork is made with zero waste methods.  These tree wood utensils are handmade from trees that no longer bear fruit, giving them new life for generations to come.","['Natural', 'Plastic Free', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/09/huski-bamboo-cuttlery-knife-600x600.jpg,https://www.peacewiththewild.co.uk/product/coconut-knife/
Citrus Body Oil – 100ml,Our Tiny Bees,"['Skincare', 'Body Oil']","Our Tiny Bees citrus body oil is kind to your skin and our planet! Made with only plant-based ingredients that are 100% natural and vegan. Great for nourishing, softening and rejuvenating  the skin, so it looks and feels healthier. Our Tiny Bees citrus body oil is made using a formulation of natural almond oil, oat oil and vitamin E. With a citrus blend of essential oils such as lime, bergamot, lemon and sweet orange that uplifts and freshens.","['Vegan', 'Natural', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/05/our-tiny-bees-citrus-body-oil-600x600.jpg,https://www.peacewiththewild.co.uk/product/citrus-body-oil-100ml/
Lemongrass Mint Organic Shea Cream – 114g,Organic Essence,"['Skincare', 'Body Butters']","Lemongrass mint shea cream is perfect for moisturising hands and bodies. It’s blend of natural oils and shea butter provides luxurious moisturisation and nourishment. Hydrate and condition organically with deeply rich shea butter and emollients.   When you purchase Organic Essence creams in extreme weather fluctuations, please keep in mind that consistency issues can be more prevalent.  These creams are made of butters and oils and will melt in high temperatures. We will not refund this product for separation, or a change in consistency.","['Organic', 'Natural', 'Plastic Free', 'Biodegradable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2019/08/lemongrass-mint-shea-cream-organic-essence-600x600.jpg,https://www.peacewiththewild.co.uk/product/organic-essence-lemongrass-mint-organic-shea-cream-114g/
Olive Wood Soap Dish – Oval,Eco Living,"['Bathroom', 'Soap Dishes']","A natural olive wood soap dish. Handmade in Germany. Each soap dish is unique as it is carved from a piece of olive wood, made from a retired olive tree that produces no more olives.","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/03/small-olive-soap-dish-600x600.jpg,https://www.peacewiththewild.co.uk/product/olive-wood-soap-dish-oval/
Organic Mesh Vegetable Bag – Large,The Foragers Cottage,"['On-The-Go', 'Produce Bags']","Perfect for keeping loose groceries protected whilst minimising your impact on the planet. These Large Vegetable Grocery Bags are a sustainable way to bring groceries home, whether it be from your allotment or local greengrocers.","['Natural', 'Plastic Free', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/11/large-veg-bag-600x600.jpg,https://www.peacewiththewild.co.uk/product/organic-mesh-vegetable-bag-large/
Natural Rubber Hot Water Bottle – Grey Stone,Sänger,"['For The Home', 'Hot Water Bottles']","Natural Latex Rubber Hot Water Bottle is the best way to keep warm this winter. They are biodegradable, kind to the environment and kind to your energy bills! This hot water bottle can hold 2 litres of water to keep you warmer for longer. This brilliant bottle has a knitted natural cotton cover in grey stone with zipper for ease of use. The bottle is made from one piece of natural rubber which is watertight and tested to British standards.","['Palm Oil Free', 'Natural', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/12/eco-living-hot-water-bottle-grey-stone-01-600x600.jpg,https://www.peacewiththewild.co.uk/product/natural-rubber-hot-water-bottle-grey-stone/
Black Moon Soy Wax Candle,Run With Wolves,"['For The Home', 'Candles']",Black Moon candle is uplifting and promotes positivity. Blended with natural essential oils and vegan soy wax the woody undertones bring calmness and relaxation. An earthy and fresh blend of sandalwood wraps gives a warming aroma that surrounds you.,"['Vegan', 'Natural', 'Plastic Free', 'Recyclable', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2019/08/vegan-soy-wax-candle-black-moon-run-with-wolves-top-600x600.jpg,https://www.peacewiththewild.co.uk/product/run-with-wolves-black-moon-soy-wax-candle/
Plastic Free Indoor Watering Can – Coral,Burgon & Ball,"['For The Home', 'Gardening', 'Garden Essentials']","Perfect for watering your indoor succulents and houseplants, Burgon & Ball indoor watering can in Coral  is an eco friendly, plastic-free garden hand tool essential that is designed to be used indoors. Sustainably made with powdered coated steel and Sustainably beechwood. Contemporary and practical, Burgon & Ball indoor watering can is the plastic free way to water your houseplants. The perfect gift for a keen gardener, florist or houseplant enthusiast.","['Plastic Free', 'Sustainable', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2025/02/Coral-600x594.jpg,https://www.peacewiththewild.co.uk/product/plastic-free-indoor-watering-can-coral/
Kept Food Jar – 540ml – Slate,Kept For Life,['New Arrivals'],"Introducing Kept For Life’s stylish solution to hot lunches on the go. Crafted with double-walled high-grade steel, it maintains your desired food temperature for up to 6 hours hot or 12 hours cold. Complete with a BPA-free lid and integrated spork, it’s perfect for on-the-go refuelling. With a vibrant powder coating, it’s both stylish and practical. Leak-proof, recyclable, and BPA-free for peace of mind.","['Vegan', 'Palm Oil Free', 'Recyclable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/02/Kept-For-Life-Food-Jar-Slate-600x600.jpg,https://www.peacewiththewild.co.uk/product/kept-food-jar-540ml-slate/
Mineral Sunscreen Lotion SPF 50 Travel Size- 100ml,Amazinc,"['On-The-Go', 'Festival Essentials']",A natural and effective vegan sun screen made by Amazinc in a handy 100ml bottle. The unique mineral-packed formula provides effective protection whether your at the beach or up in the mountains. Zinc oxide reflects harmful sun-rays whilst a blend of olive and almond oils keeps your skin hydrated. Current stock is a pump top not screw cap!,"['Natural', 'Recyclable', 'Handmade']",https://www.peacewiththewild.co.uk/wp-content/uploads/2019/08/mineral-sun-screen-amazinc-600x600.jpg,https://www.peacewiththewild.co.uk/product/mineral-sunscreen-lotion-spf-50-travel-size-100ml/
Coconut Fibre Scrub Pad – Large,Safix,"['Kitchen', 'Dish Sponges']","Safix natural coconut scrub pad. A compostable alternative to traditional scouring pads. This natural scrub pad is made of coconut fibre and will remove mould from shower tiles, and grout lines, or simply scrub your pots and pans.","['Plastic Free', 'Vegan', 'Natural', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2019/11/safix-scrub-pad-large-600x600.jpg,https://www.peacewiththewild.co.uk/product/coconut-fibre-scrub-pad-large-size/
Vegan Organic Raw Dark Chocolate & Salted Caramel – 70g,Raw Halo,"['Food & Drink', 'Chocolate']","Raw Halo organic dark chocolate and salted caramel. A sweet and creamy dark chocolate with vegan caramel flavour and pink Himalayan salt, perfect for a delicious, yet, guilt-free treat.","['Vegan', 'Plastic Free', 'Palm Oil Free', 'Natural']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/05/raw-halo-dark-salted-600x600.jpg,https://www.peacewiththewild.co.uk/product/vegan-organic-raw-chocolate-dark-salted-caramel-70g/
Organic English Mustard 170g,Carley's,"['Food & Drink', 'Condiments']","Our fiery vibrant Organic English Mustard, no wheat flour, no salt, no sugar, no spirit vinegar. Wonderful to add zing to any savoury dish! Handmade in Cornwall in a environmentally and ethically sustainable way.","['Vegan', 'Palm Oil Free', 'Handmade', 'Recyclable', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2025/01/Carleys-English-Mustard-600x594.jpg,https://www.peacewiththewild.co.uk/product/organic-english-mustard-170g/
Eco Man Self Care Kit,,"['Gifts', 'Eco-Friendly Kits']",Our Eco Man Self Care Kits are a perfect way to swap out the plastic for a more sustainable lifestyle.,[],https://www.peacewiththewild.co.uk/wp-content/uploads/2020/01/man-kit-600x594.jpg,https://www.peacewiththewild.co.uk/product/eco-man-self-care-kit/
Beaming Baby Organic Bamboo Nappies – Mini – Size 1,Beaming Baby,['Mama & Baby'],"The world’s first organic bamboo nappy in bio-degradable paper packaging! Extreme comfort with softest bamboo waist and leg panels. By using Beaming Baby’s Organic Bamboo Nappies, you have shown that you are in the top 5% of Mums and Dads who will go the extra mile to protect your baby from the harsh chemicals in standard baby products.","['Vegan', 'Natural', 'Plastic Free', 'Recyclable', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/05/mini-1-600x594.jpg,https://www.peacewiththewild.co.uk/product/beaming-baby-organic-bamboo-nappies-mini-size-1/
8 Reusable Silicone Straws With Cleaning Brush,The Silicone Straw Co,"['Kitchen', 'Drinkware']","Introducing The Silicone Straw Company’s 8 Reusable Silicone Straws! Made from sustainable, vegan-friendly, and 100% food-safe silicone, these straws are the perfect eco-conscious choice. Dishwasher safe and designed for your safety, they are soft on your teeth and free from BPA. With vibrant colours and a convenient cleaning brush, these durable & portable straws are the ultimate solution to reduce plastic waste. Join the sustainability movement and enjoy your drinks guilt-free with these reusable silicone straws!","['Vegan', 'Palm Oil Free', 'Recyclable', 'Made In UK', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/05/Silicone-Straws-8pk-3-600x600.jpg,https://www.peacewiththewild.co.uk/product/8-reusable-silicone-straws-with-cleaning-brush/
Organic Body Wash Orange Sweet & Lemon – 500ml,Beauty Kitchen,"['Bathroom', 'Body Wash']","Kick-start your day with the uplifting scent of sweet orange and zesty lemon. This creamy Castile body wash gently cleanses and nourishes, leaving skin soft, refreshed, and revitalised. 100% natural, vegan, and sustainably packaged — it’s your daily dose of citrus-powered feel-good energy.","['Vegan', 'Natural', 'Recyclable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2025/04/BK-body-orange-and-lemon-600x594.jpg,https://www.peacewiththewild.co.uk/product/organic-body-wash-orange-sweet-lemon-500ml/
Tiny Tony’s Rainbow Mix – 100 Pieces,Tony's Chocolonely,"['Food & Drink', 'Chocolate']","For the chocolate lovers, a box of chocolate you can finally afford to share! Each box has 100 individually wrapped. A super shareable gift box containing 100 Tiny Tony’s. With enough chocolate to carry the family party on into the night, or great for keeping in the cupboard at work to satisfy you and your colleagues cravings. Who will you share your tiny snack moments with? (Or don’t).  Tuck in together on a BIG or small appetite – all the while helping to make all chocolate 100% slave free. It’s a party waiting to happen.","['Plastic Free', 'Palm Oil Free']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/09/tonys-mixed-100pcs-600x594.jpg,https://www.peacewiththewild.co.uk/product/tiny-tonys-rainbow-mix-100-pieces/
Face Moisturiser with Vitamin E + Aloe Vera – 60ml,UpCircle,"['Skincare', 'Face Creams']",Face Moisturiser by UpCircle is a natural day cream which is fast absorbing to nourish and brighten the skin.  Made with the fine powder of discarded argan shells which is a natural by-product of the argan oil industry and rich in antioxidant Vitamin E.,"['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Handmade', 'Made In UK', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/10/upcircle-face-600x594.jpg,https://www.peacewiththewild.co.uk/product/face-moisturiser-with-powder-argan-shells-50ml/
"The Green Cleaning, Living & Gardening Book Trio",Nancy Birtwhistle,['For The Home'],"The complete Green Collection by the multi talented Nancy Birtwhistle, hints, tips and just very good advise to help us all live a greener, cleaner life.",[],https://www.peacewiththewild.co.uk/wp-content/uploads/2023/03/Nancy-Birtwhistle-Green-Gardening-Banner-03-600x600.jpg,https://www.peacewiththewild.co.uk/product/the-green-cleaning-living-gardening-book-trio/
100% Plant-Based Beech Wood Toothbrush – Medium Bristles,Eco Living,"['Bathroom', 'Toothbrushes']",A sustainable wooden toothbrush made with 100% plant-based bristles. The bristles and the handle are both made from renewable materials.,"['Vegan', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/10/eco-living-toothbrush-group-600x600.jpg,https://www.peacewiththewild.co.uk/product/100-plant-based-beech-wood-toothbrush/
Bamboo Charcoal Water Filters,Charcoal People,"['Kitchen', 'Kitchen Essentials']","A simple and natural method to filter your tap water, the charcoal filters out chlorine, chloramines and other impurities. Super efficient, these charcoal filters are made from bamboo charcoal.","['Natural', 'Plastic Free', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2019/08/bamboo-charcoal-water-filter-glass-600x600.jpg,https://www.peacewiththewild.co.uk/product/bamboo-charcoal-water-filters/
Pink Stripe Turkish Towel – Quick Dry Chappie,Ebb Flow Cornwall,"['For The Home', 'Turkish Towels']","A handcrafted pink Hammam towel featuring a white stripe pattern on a quick drying weave, beautifully handmade by Turkish artisans using Aegean cotton. With a lightweight, quick dry weave, this Turkish towel is easy to travel with yet, still absorbent. As the name suggests this Turkish towel is extremely quick drying and folds up nice and small.","['Natural', 'Plastic Free', 'Biodegradable', 'Sustainable', 'Handmade']",https://www.peacewiththewild.co.uk/wp-content/uploads/2019/08/hot-pink-quick-dry-chappie-turkish-towel-600x600.jpg,https://www.peacewiththewild.co.uk/product/pink-stripe-turkish-towel-quick-dry-chappie/
Micellar Cleansing Water – Chamomile,Bain & Savon,"['Skincare', 'Facial Cleansers']","An organic micellar cleansing water designed to cleanse and tone your skin by using micellar molecules to gently lift and remove makeup and impurities without irritation. Chamomile Hydrolat is equally appreciated for its soothing, balancing and restorative benefits. It will help firm and purify the skin, slow down the aging process as well as soothe delicate or sensitive skins. This micellar water works for all skin types but is particularly good for problematic skin.","['Natural', 'Vegan', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/10/bain-savon-micellar-water-with-pump-cham-01-600x600.jpg,https://www.peacewiththewild.co.uk/product/micellar-cleansing-water-chamomile/
Truffle Sea Salt Flakes – 100g,Dorset Sea Salt Co,"['Food & Drink', 'Salt']","Elevate your dishes with the luxurious flavour of Dorset Sea Salt Co.’s Truffle Sea Salt Flakes. Made with the finest Italian truffle, this premium salt adds an indulgent touch to your meals. Perfect for risotto, mashed potatoes, grilled cheese, and steak, it delivers a rich, earthy truffle flavour that will take your cooking to the next level. Whether you’re a foodie or simply love a touch of luxury, this truffle salt is an essential addition to your kitchen.","['Plastic Free', 'Vegan', 'Palm Oil Free', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2025/03/Dorset-Truffle-Salt-600x594.jpg,https://www.peacewiththewild.co.uk/product/truffle-sea-salt-flakes-100g/
Mini-Meadow Bamboo Pots – Bee Mix,Seedball,"['For The Home', 'Gardening']","Bee mix mini-meadow bamboo pots by Seedball is a simpler and more natural way to grow from seed. A tube of 12 seed balls with a natural mix of native wildflower seeds that are designed to bring the bees to your garden! Seed balls support local pollinator populations such as bees, honey bees, and bumble bees with their nectar rich wildflowers including Birdsfoot Trefoil, Floxglove, Red Clover, Viper’s Bugloss and Wild Marjoram. Seedball mini-meadow bee mix is the perfect gift for gardeners and flower lovers, and being easy to use you don’t need any expert knowledge! Transform your garden and empty spaces in to a haven for wildlife.","['Vegan', 'Natural', 'Plastic Free', 'Made In UK', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/03/seedball-mini-meadow-bamboo-pots-bee-mix-600x600.jpg,https://www.peacewiththewild.co.uk/product/seedball-mini-meadow-bamboo-pots-bee-mix/
